Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
40,Encanto (We Don't Talk About Bruno),Encanto Cast,2021,https://www.youtube.com/watch?v=o01l3sotf1Q,6f39b70eed83c20836d83a97661469bbd181906c611cdda70dd5a02ef7d9e911,"We Don't Talk About Bruno (From ""Encanto""/Audio Only)",USWD12112915
41,Phenomenon (Change the World),Eric Clapton,1996,https://www.youtube.com/watch?v=x11NA63gLDM,96fab192089304e5e81d0423bb11b640c6f5c8e5ab845471c025088ab85009aa,Eric Clapton - Change The World,USRE19600049
42,Who's That Girl,Madonna,1987,https://www.youtube.com/watch?v=r0qDBYiOBrc,e32c75d5e3bb5a0900b4f33250bc9aedc23b63718ca8daea210c86a7288d6efe,Madonna - Who's That Girl (Official Video),USWB10002766
43,Cabaret,Liza Minnelli,1972,https://www.youtube.com/watch?v=moOamKxW844,c48fada1c87ef80b1f961b508037497331b615d4834b11c1d549eddaeafca8a4,"Cabaret, Liza Minnelli",USMC17251142
44,Top Gun (Take My Breath Away),Berlin,1986,https://www.youtube.com/watch?v=Bx51eegLTY8,2c978270b4deabb52b9beee40d30baf88ed8be73b4de97e938dc2f3ea2fc9836,Berlin - Take My Breath Away (Official Video - Top Gun),USSM19801613
45,Terminator 2,Brad Fiedel,1991,https://www.youtube.com/watch?v=CnQm2_cAZvo,e128a952983a61233e8618c5f05afc0eee2073226ec5c011a17780ebc90f7976,Main Title Terminator 2 Theme (Remastered 2017),FRS439100034
46,Footloose,Kenny Loggins,1984,https://www.youtube.com/watch?v=ltrMfT4Qz5Y,e9193d8b370efe8ee4b1a12f66ced0abfda39d0abf1ac024a25c41870c94d954,Kenny Loggins - Footloose (Official Video),USSM18400107
47,Frühstück bei Tiffany (Moon River),Audrey Hepburn,1961,https://www.youtube.com/watch?v=0BfUDyvdTSE,370cf6aca773fb1ca409fab97920675cc3bbb10ac7ffc5374dba5afdaec1420e,Audrey Hepburn   Moon River Best Version,FR6V82642499
48,Sex And The City,Douglas J. Cuomo,1998,https://www.youtube.com/watch?v=ntr62qu1kd0,b4e8521f1dd318a72a726ea873cec0a3055e9cedbf9fcdc37a259e6cb1bc5190,Sex And The City - Main Theme,CAM460428414
49,"Zwei glorreiche Halunken - The Good, The Bad And The Ugly",Ennio Morricone,1966,https://www.youtube.com/watch?v=bBixD-rTB_c,a9d0e0200d48f7724746120b1af8cc168a5814f3aaa4ebf3e8e8a7a438949a83,"The Good, The Bad And The Ugly (2004 Remaster)",USNPD0714249
50,Pinocchio (When You Wish Upon a Star),Cliff Edwards,1940,https://www.youtube.com/watch?v=m4ifzcpMX18,eb2cc8709a5d745f5f6d59e004cd13a8262bdda69d32f8d1a1ce2dea2be3afbb,Cliff Edwards - When You Wish Upon A Star 1940 Ukulele Ike,USWD10220003
51,Yellow Submarine,The Beatles,1968,https://www.youtube.com/watch?v=m2uTFF_3MaA,92752c9bda2addaf407fe63e76bc15148c4e781c0104e2e3f2096d8e620a7a50,The Beatles - Yellow Submarine,GBAYE9901217
