Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
68,Gimme Hope Jo'Anna,Eddy Grant,1988,https://www.youtube.com/watch?v=3P-imA4618Y,c3af2223739dd4daff7c1233c990ceb88941b1c49f448158167e128329076211,Eddy Grant - Gimme Hope Jo'Anna (Official Video),
69,Wind of Change,Scorpions,1991,https://www.youtube.com/watch?v=n4RjJKxsamQ,c47abe474662ca2b5a7e056768f3aba3b61d1c5f0f438ceb73bb9526879cc51a,Scorpions - Wind Of Change (Official Music Video),
70,Le Freak,CHIC,1978,https://www.youtube.com/watch?v=aXgSHL7efKg,29dec95b3aa10ae8e79d0af88fa52af22f02c4f9f007dd856ea9f11c34f47a80,CHIC - Le Freak (Official Music Video),
71,Haus am See,Peter Fox,2008,https://www.youtube.com/watch?v=j-XKgB5guDQ,330f97d46cbfeaa7cc4e7a85ea62d301500376df89b5a99d5dfd8b92a73c75ad,Haus am See,
72,Poker Face,Lady Gaga,2008,https://www.youtube.com/watch?v=bESGLojNYSo,7ab456a6e035796c5935d3b39de0948e5db928560a29f22e28d36c5375548ec5,Lady Gaga - Poker Face (Official Music Video),
73,It's a Heartache,Bonnie Tyler,1977,https://www.youtube.com/watch?v=bEOl38y8Nj8,f330944d4d5cd6e4098f15977ace1fa2479807625fec0a4bd6d1bc9a74ebda42,Bonnie Tyler - It's A Heartache (Official HD Video),
74,Johnny B. Goode,Chuck Berry,1958,https://www.youtube.com/watch?v=Y-9Y4CCIWnM,35e02617333a6f2b7905dd38452467a45aa0496e8b893c5f4f12b15f5cba11b1,Johnny B. Goode,
75,White Wedding,Billy Idol,1982,https://www.youtube.com/watch?v=AAZQaYKZMTI,80f29e010f2f9985fdf862eb4453704d4034d90789bca6366ee1af4533ad8333,Billy Idol - White Wedding (Part 1),
76,"Rigoletto: ""La Donna E' Mobile""",Enrico Caruso,1908,https://www.youtube.com/watch?v=RZNkoRb2iLQ,02724062dc5e32725d955acab8c7538c102c1a99bc1cec8a242d1af680d790c4,Enrico Caruso - La Donna e Mobile (Remastered),
77,Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",2017,https://www.youtube.com/watch?v=As_4JTmHuW4,63db1b86c7e1cbbaa9a119ccab0902772316defbb0e6387fa512ea37bc8e3124,Without You,
78,Volare (Nel Blu di Pinto di Blu),Gipsy Kings,1989,https://www.youtube.com/watch?v=X8TOhb_4jU0,9ce3db1bfeb26833f296d4b2ecce7a8fc32227d71fbe21d0f20bdefb23a08a15,Gipsy Kings - Volare (Nel Blu di Pinto di Blu) (Official HD Video),
79,Ca plane pour moi,Plastic Bertrand,1977,https://www.youtube.com/watch?v=8soQkubMk1g,4baa33a01c8b3eead7250993c318c6262c4765ef01b3915e8397af4d7919cd71,Plastic Bertrand  - Ça plane pour moi (Official Audio),
80,Born to Be Alive,Patrick Hernandez,1978,https://www.youtube.com/watch?v=9UaJAnnipkY,4a7126a0e1032e034f45a0ce3291fc3d1aa964425d73a44f6b940f2bbccc70de,Patrick Hernandez - Born to Be Alive - Official Video (Clip Officiel),
81,Whole Lotta Love,Led Zeppelin,1969,https://www.youtube.com/watch?v=HibBnC6SVk8,30d553d7512c51985ff1cae6519cb9119734935691d7689a6281e0e4a1dae062,Led Zeppelin - Whole Lotta Love (Official Audio),
82,Ein Kompliment,Sportfreunde Stiller,2002,https://www.youtube.com/watch?v=C4uXGzFZjqw,2411e3a35f2946acfdc7a51f4ce31f5b5d6ebebaaebbda3360e657217271a4b7,Sportfreunde Stiller - Ein Kompliment,
83,In the Mood,Glenn Miller,1939,https://www.youtube.com/watch?v=_CI-0E_jses,e24beb9f344c9954df260fec870d23f3b1f6cb28487391f0218e13d4854b3f64,Glenn Miller - In The Mood [HQ],
