Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,Uptown Funk,Mark Ronson ft. Bruno Mars,2014,https://www.youtube.com/watch?v=OPf0YbXqDm0,4ebdc358b3f101b6d59bb307632f16e712b1817346e4dfbd728aa59d5a137435,Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,GBARL1401524
2,September,"Earth, Wind & Fire",1978,https://www.youtube.com/watch?v=Gs069dndIYk,8f03f63e6148d3bc12d07ac53ce7831c7527c8e5e72fa4d555e47bcac24fa4f2,"Earth, Wind & Fire - September (Official HD Video)",USARC7800007
3,I Gotta Feeling,The Black Eyed Peas,2009,https://www.youtube.com/watch?v=uSD4vsh1zDA,cb303f67b4415d5102524981f1bae7b88b29fd66cbba14278a7b58126888e16e,The Black Eyed Peas - I Gotta Feeling (Official Music Video),USUM70927603
4,Best Day Of My Life,American Authors,2013,https://www.youtube.com/watch?v=Y66j_BUCBMY,426066a431d989dfc4665cae01477d36dc45a6652a13d49ea7a1a0c1b29367ba,American Authors - Best Day Of My Life,USUM71314065
5,Walking On A Dream,Empire Of The Sun,2008,https://www.youtube.com/watch?v=eimgRedLkkU,69332f2438eb23534921dfbd581aa6d08049d39a26e9a4472ced35ef6881dd23,Empire Of The Sun - Walking On A Dream (Official Music Video),AUAT20801031
6,Send Me On My Way,Rusted Root,1992,https://www.youtube.com/watch?v=IGMabBGydC0,65d8d8851144dce12d56e5bd7716c585fa1b9ad17635f4236d98d1bb9a1a5c1f,Rusted Root - Send Me On My Way,USMR19200012
7,Ain't No Mountain High Enough,Marvin Gaye & Tammi Terrell,1967,https://www.youtube.com/watch?v=ABfQuZqq8wg,ac825f54fcf24d9917e5a9d5bffb92777ced54418f901b6a7ec8fd3ad0a6e969,Ain't No Mountain High Enough,USMO16701264
8,You Make My Dreams (Come True),Daryl Hall & John Oates,1980,https://www.youtube.com/watch?v=EErSKhC0CZs,cb8b8dc7e6057b994c7fbf3f6c1c7e9b320de4f8b7b926f9f00aee7d94321575,Daryl Hall & John Oates - You Make My Dreams (Official HD Video),USRC10000512
9,Three Little Birds,Bob Marley & The Wailers,1977,https://www.youtube.com/watch?v=HNBCVM4KbUM,6247d4ba0c88c71ea78452470ca5ac43ebd84b69dcdf08e3f15168ca7116e31e,Bob Marley & The Wailers - Three Little Birds (Official Video),USIR27800064
10,Dog Days Are Over,Florence + The Machine,2008,https://www.youtube.com/watch?v=iWOyfLBYtuU,59a4dd70b2bf42b63cbd64c959782c9175cae798e417ec9d7b641a789c8decdb,Florence + The Machine - Dog Days Are Over (2010 Version),GBUM70900284
11,Mr. Blue Sky,Electric Light Orchestra,1977,https://www.youtube.com/watch?v=wuJIqmha2Hk,86b54d1ade2540954bd2fce32c74cbfcdd43c3be60ee60833210466b3e1ae7a3,Electric Light Orchestra - Mr. Blue Sky (Official Video),USSM17700418
12,(Sittin' On) The Dock Of The Bay,Otis Redding,1968,https://www.youtube.com/watch?v=rTVjnBo96Ug,0b0027399d63ae04af2a6af3a9e4c9a716edd010cbf85686eb62901d9cc1f394,Otis Redding - (Sittin' On) The Dock Of The Bay (Official Music Video),USAT29900865
13,Pocketful of Sunshine,Natasha Bedingfield,2008,https://www.youtube.com/watch?v=gte3BoXKwP0,98bde4050b72182678c653fc944db5427912175047ce0a3ff2f5ba05c9d4b8d4,Natasha Bedingfield - Pocketful of Sunshine (Official Video),USSM10706115
14,Unwritten,Natasha Bedingfield,2004,https://www.youtube.com/watch?v=b7k0a5hYnSI,e798f42323e3288334695f5cbf2df6ef28aac373d1204112111de1cae273c344,Natasha Bedingfield - Unwritten (Official Video),USSM10411783
15,Riptide,Vance Joy,2013,https://www.youtube.com/watch?v=uJ_1HMAGb4k,1490ae7ec57d4261d0e16836240ef1d1a20f9e9604c3998ccbc802f652410c9e,Vance Joy - Riptide (Official Video),AUMZ31300012
16,Home,Edward Sharpe & The Magnetic Zeros,2009,https://www.youtube.com/watch?v=DHEOF_rcND8,96ce7259109c9bc59bae3d1199c86b703a5b516a64480f6b1e70cf05dad53ebf,Edward Sharpe & The Magnetic Zeros - Home (Official Video),USVR90952801
17,Banana Pancakes,Jack Johnson,2005,https://www.youtube.com/watch?v=OkyrIRyrRdY,39677f8cb1b4a71864d0400f59c76e49ea14945badf8fdc629f0dc067c7323d0,Jack Johnson - Banana Pancakes,USUM70503877
18,Brighter Than The Sun,Colbie Caillat,2011,https://www.youtube.com/watch?v=KU5o6M7S5nQ,199e66cca2aaa7ccc9629f35b8780399d882b10cbfb43a226cefcdcf0327b071,Colbie Caillat - Brighter Than The Sun (Official Video),USUM71111501
19,I Can See Clearly Now,Jimmy Cliff,1993,https://www.youtube.com/watch?v=MrHxhQPOO2c,7106b01405e167b91a3794064d011b9c2bfadf32c03eb23591c88d4f8d59fc92,Jimmy Cliff - I Can See Clearly Now (Official Video),USSM19300653
20,Wouldn't It Be Nice,The Beach Boys,1966,https://www.youtube.com/watch?v=6Vv_dkDwZeQ,a6510204060ed869b98b9036e46e6975bf2dc6931c67c511848ef0f62cc747b1,The Beach Boys - Wouldn't It Be Nice (Official Music Video),USCA26600832
