"Card#","Title","Artist","Year","URL","Hashed Info","Youtube-Title","ISRC"
"416","Sommergewitter","Pashanim","2020.0","https://www.youtube.com/watch?v=YOWEsoigyPg","f14dfe75556aaccfe40dee18c492a84d4a6bbe0041e47a63ee4438a3825830b6","Pashanim - Sommergewitter",""
"417","See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth","2015.0","https://www.youtube.com/watch?v=RgKAFK5djSk","9e9ac0876b546d0f38e1a9a561e8b6fdd4b7399aad9e61e1ae4eebd282d2e534","Wiz Khalifa - See You Again ft. Charlie Puth",""
"418","Black and Yellow","Wiz Khalifa","2010.0","https://www.youtube.com/watch?v=UePtoxDhJSw","e3cd9604f34022dd42ad83b5823010f0befe239df709f62d8146bf19492bb2ab","Wiz Khalifa - Black And Yellow",""
"419","Nuthin' But A  G  Thang","Dr. Dre,Snoop Dogg","1992.0","https://www.youtube.com/watch?v=Ne_hVxwEGCg","04e851d6ef9ada955f710d71d40ec8edbea1e1f128d4acdf25e81893dea53d0c","Dr. Dre - Nuthin' But A G Thang",""
"420","Powerade","BHZ,SIRA,Ion Miles","2023.0","https://www.youtube.com/watch?v=Yh4Sgkak1Yg","b0b14915df3910a3218a836a09fc8c999d7da4b9227b5ba617197974707150ac","BHZ x SIRA x Ion Miles - Powerade",""
"421","Baby Got Back","Sir Mix-A-Lot","1992.0","https://www.youtube.com/watch?v=X53ZSxkQ3Ho","60e7ba366a03a2514fd2af54fcb3ed0a769421403dc3145d5106ebb5a497e8c7","Sir Mix-A-Lot - Baby Got Back",""
"422","Who Am I (What’s My Name)?","Snoop Dogg","1993.0","https://www.youtube.com/watch?v=2soGJXQAQec","371883a5eddb197d514563ad84fd2191a4242f62ac4b08f1250cda50348b0620","Snoop Dogg - Who Am I? (What's My Name?)",""
"423","Nachts wach","Miksu / Macloud,makko","2021.0","https://www.youtube.com/watch?v=hqznO-babNE","5d42dc079fa40e19bc1bd0b5edcae3c9bd9c157fdf40e7d58516bdeb4b7eea42","Miksu / Macloud x makko - Nachts wach",""
"424","Erfolg ist kein Glück","Kontra K","2015.0","https://www.youtube.com/watch?v=Acgy-3d4P6o","bbf3dd122bf17ff453779a47e71a7cff1534aebf25a8f225311213b82df21d27","Kontra K - Erfolg ist kein Glück",""
"425","Reimemonster (feat. Ferris MC)","Afrob,Ferris MC","1999.0","https://www.youtube.com/watch?v=v-Jxe_cEx_w","631560d06d56f7ad01f6e5cbc232e3673aa91a166396aadb58084a0b653e284c","Afrob feat. Ferris MC - Reimemonster",""
"426","Ready or Not","Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras","1996.0","https://www.youtube.com/watch?v=aIXyKmElvv8","805f23461063f7835b6eb3521f51104d3c414f60454f2d897a199c96b339c6da","Fugees - Ready Or Not",""
"427","Bamba (feat. Aitch & BIA)","Luciano,Aitch,BIA","2022.0","https://www.youtube.com/watch?v=oglRrpIsVaE","b268b541c9ba2b86309a5cbc475059b946a5edca8fb180ca971c4397af019622","Luciano x Aitch x BIA - Bamba",""
"428","So wie du bist","MoTrip,Lary","2015.0","https://www.youtube.com/watch?v=WNKIbGMq5jM","0206fc549bd80e61793eace466df01a3726ef4e5ea0a5b7d7cbdfa2e696c5ca4","MoTrip - So wie du bist ft. Lary",""
"429","So'ne Musik","Deichkind","2012.0","https://www.youtube.com/watch?v=mdIP3hyxi3k","0c494f5939bb93680b443e8e4a872a8a4870b92824fa943d8be688534e5ee775","Deichkind - So'ne Musik",""
"430","Perfect Gentleman (feat. Hope)","Wyclef Jean,Hope","2001.0","https://www.youtube.com/watch?v=uDwraXBUHgs","f95f09faee96e690f3ad973511ef0838d582fc9b0fa6a412583f5c7ce212e732","Wyclef Jean - Perfect Gentleman",""
"431","Bring The Noise","Public Enemy","1987.0","https://www.youtube.com/watch?v=mmo3HFa2vjg","ba551cde8b5b56b46ee551ebd2c4634aa1ac7be66e23e838b033f48b7eb453c8","Public Enemy - Bring The Noise",""
"432","King of Rock","Run–D.M.C.","1985.0","https://www.youtube.com/watch?v=qXzWlPL_TKw","64de84da264247d9300379c3999b0acc89f6d45b11878f994072468aad764b3e","Run-D.M.C. - King Of Rock",""
"433","Emotions 2.0","Ufo361,CÉLINE","2023.0","https://www.youtube.com/watch?v=ivhl39Z_hho","6da9bbf61e69ad38e0d222379f937141d4e8e713d3607d58dfab4b86f9d5b6f4","Ufo361 - Emotions 2.0",""
"434","Boom! Shake the Room","DJ Jazzy Jeff & The Fresh Prince","1993.0","https://www.youtube.com/watch?v=4AVWZwZq_QU","e6f21707ec54ac7710d1aa6ce5e4f77770fc40b526df3e89cf94d948215959e4","DJ Jazzy Jeff & The Fresh Prince - Boom! Shake The Room",""
"435","Hobby Hobby","MERO","2018.0","https://www.youtube.com/watch?v=bTokyVe8E3E","bb24a1310b3a2806553f1b9b4dfdd688af458d4ad28d0c8e4434e58808af00e9","MERO - Hobby Hobby",""
"436","(Hey You) The Rock Steady Crew","Rock Steady Crew","1984.0","https://www.youtube.com/watch?v=--7afsHgRww","30f64a844c20220ad5d9d979d44b63d8912b393fd80b6dd7e594eca4789603ef","Rock Steady Crew - (Hey You) The Rock Steady Crew",""
"437","Anaconda","Nicki Minaj","2014.0","https://www.youtube.com/watch?v=LDZX4ooRsWs","e1a4416b1a20c49a13a3c03e4f0a0c731ff41c7d35af8fdea29105454ce5d8da","Nicki Minaj - Anaconda",""
"438","Kimnotyze","DJ Tomekk,Lil' Kim,Trooper Da Don","2002.0","https://www.youtube.com/watch?v=JYSVCVrId10","8295c6c75c8bf9efe6c50b5f77991c2c92ecd6d35436a8c4e02df69197f517eb","DJ Tomekk - Kimnotyze ft. Lil Kim",""
"439","The Real Slim Shady","Eminem","2000.0","https://www.youtube.com/watch?v=eJO5HU_7_1w","75420aa1b33a0569b03043227f57d1fd08ed94639a250c5946002db270cdc774","Eminem - The Real Slim Shady",""
"440","Mit Dir","Freundeskreis,Joy Denalane,Max Herre,Don Philippe,DJ Friction","1999.0","https://www.youtube.com/watch?v=lAadPcBYc74","5f322d634621f6f8a278eb40e436fef0c93e765ab7ea6875a9982427af02dd1e","Freundeskreis - Mit Dir",""
"441","Schwarz zu blau","Peter Fox","2008.0","https://www.youtube.com/watch?v=yphwzD1XaBY","4f2a0790c913017f6f787c857111d2c0fa2056a5a44536110fa67630e824852b","Peter Fox - Schwarz zu blau",""
"442","If I Ruled the World (Imagine That) (feat. Lauryn Hill)","Nas,Ms. Lauryn Hill","1996.0","https://www.youtube.com/watch?v=mlp-IIG9ApU","d88fab0e734487bf3c020d7b3da020fd7df3cca9f5a20eec6cb5f200fbc01d38","Nas - If I Ruled The World ft. Lauryn Hill",""
"443","Whoomp! There It Is - Radio Edit","Tag Team","1993.0","https://www.youtube.com/watch?v=ffCEr327W44","6efc9ca94ccd2e041c863047d79ac1a0d2d9e8ee3cfd2c2dafe8eea75d9206a9","Tag Team - Whoomp! There It Is",""
"444","Fancy","Iggy Azalea,Charli xcx","2014.0","https://www.youtube.com/watch?v=O-zpOMYRi0w","dffa10944a72ccb525005ec8030c0012e7a3a7b665576f8bd11cfa9353cef0dd","Iggy Azalea - Fancy ft. Charli XCX",""
"445","So perfekt","Casper,Marteria","2012.0","https://www.youtube.com/watch?v=xeMLX5gvscg","5338bbe4ff554d238e1d0d272186e1d281b535163a2af631916abce25b1b305e","Casper feat. Marteria - So Perfekt",""
"446","Troy","Die Fantastischen Vier","2004.0","https://www.youtube.com/watch?v=TkvuDOB9XD4","985ce8901ffc8f7a516d99fefc880dad9eb55b5ec467c1735b0741ea3c77ee89","Die Fantastischen Vier - Troy (Offizielles Musikvideo)",""
"447","Intergalactic - Remastered 2009","Beastie Boys","1998.0","https://www.youtube.com/watch?v=qORYO0atB6g","27121bf29c3e19ce13139b26accba130621b9095bd7cf0bf85f5d90526453a4d","Beastie Boys - Intergalactic",""
"448","Apache (Jump on It)","The Sugarhill Gang","1981.0","https://www.youtube.com/watch?v=YKhi9ITkRgA","3b0226f5abd630a901e5e8f5645a80a2b7d533b1f7265e06855ba34e886473e2","The Sugarhill Gang - Apache",""
"449","Lucid Dreams","Juice WRLD","2018.0","https://www.youtube.com/watch?v=mzB1VGEGcSU","5f80d13477d47bedb67705c7e171dbae3ecc8ea128bb6716a34f2446986d7974","Juice WRLD - Lucid Dreams",""
"450","Whatta Man","Salt-N-Pepa,En Vogue","1993.0","https://www.youtube.com/watch?v=5vgV_dVkXN4","65df5b5d19c20d38cc9eaf6bd2a69d9d8f83ffe20ccd9df984c73b74b8ea18ac","Salt-N-Pepa - Whatta Man",""
"451","Empire State Of Mind","JAŸ-Z,Alicia Keys","2009.0","https://www.youtube.com/watch?v=vk6014HuxcE","8678266bd754c54954d08617b3ada93626f7dd012f04c2aa05a9810550f38907","JAY-Z - Empire State Of Mind ft. Alicia Keys",""
