Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
27,You Don't Own Me,Lesley Gore,1963,https://www.youtube.com/watch?v=OYB1rbL8EHo,983e8aa7194e87a3a215468237bd89abf834325960c12acedb96c0257614756e,Lesley Gore - You Don't Own Me (Official Audio),
28,Der Walkuerenritt,Richard Wagner,1856,https://www.youtube.com/watch?v=C933mn-pR6Y,b4309284b8dcb46db0449c4bc0104ec6a06675a5a3a3582c4703625137d97d45,Richard Wagner - Walkuerenritt,
29,Don't You (Forget About Me),,1985,https://www.youtube.com/watch?v=CdqoNKCCt7A,02ffce7ba9ee692c02dc2008751adaf28b921a14bf1c47370912d2bbca0ec645,Simple Minds - Don't You (Forget About Me),
30,West End Girls,Pet Shop Boys,1986,https://www.youtube.com/watch?v=p3j2NYZ8FKs,2fe2b5d4ef31957949ddaeb1a9e47a15abe04c9578b7a25c5bc6b50eb4a4008f,Pet Shop Boys - West End Girls (Official Video) [HD REMASTERED],
31,I'm Not In Love,10cc,1975,https://www.youtube.com/watch?v=STugQ0X1NoI,dcfc1ff3c2d5df3985774658bb97676771cad9865567d692ca754376d2e007df,10cc - I'm Not In Love,
32,Sandstorm,Darude,2009,https://www.youtube.com/watch?v=y6120QOlsfU,df6b302ed35a8d4b3d5a0a1f24e0562b787ce1efa84cfacee76ab715da267e13,Darude - Sandstorm,
33,Mii Channel Theme,Kazumi Totaka,2006,https://www.youtube.com/watch?v=po-0n1BKW2w,3980c260f8ad614b4c3c7d86543a3519cc402d2b81b6f29813cc1a5e9d50b417,Nintendo Wii - Mii Channel Theme,
34,Counter-Strike: Global Offensive - Main Menu Music Theme,Mike Morasky,2012,https://www.youtube.com/watch?v=Rvi6c8toWJM,57b996151a06bcc1ef401148bd47b5243da365c6aa11a37fa8245d6e143c7c04,Counter-Strike: Global Offensive - Main Menu Music Theme Extended,
35,Call of Duty: Modern Warfare 2 - Opening Title,Hans Zimmer,2009,https://www.youtube.com/watch?v=FXLY_5xaYFo,2c03af346beaaa87dab2a485b757e03272fe5a4841fe7dd0ce147b5d9675d24b,Call of Duty: Modern Warfare 2 - Opening Titles (Hans Zimmer),
36,Grand Theft Auto IV Theme Song,Michael Hunter,2008,https://www.youtube.com/watch?v=pWO718iy5mY,808c46f1599e2b6f38a8b525f1b82eb97ae8dace7ce94c8c4885f53463006ad6,Grand Theft Auto IV Theme Song *[best quality]*,
37,Ameno,ERA,2010,https://www.youtube.com/watch?v=6xUnSVTh8fI,b1381ec2ef3dd5e5d15cc16c19e581514ba2e9233e62c9cafd7f0d13e78fb50b,ERA - Ameno (Official Music Video),
38,Stateside,PinkPantheress feat. Zara Larsson,2026,https://www.youtube.com/watch?v=lIxQe1R5hs0,1a6bc4595ff6396cbdb80ca3366ef9a67e8e7f4813c128660d46dfd3555dcf55,PinkPantheress - Stateside + Zara Larsson (Official Video),
39,Loser,Tame Impala,2025,https://www.youtube.com/watch?v=s3a4OQR-10M,84a32ffba5ee4915fd4770160334a92704e4e58a6be02a08c8f002c49abb4dce,Tame Impala - Loser (Official Video),
40,Right Down the Line,Gerry Rafferty,1978,https://www.youtube.com/watch?v=jR8RiBMecx4,25fedebcbcda653545425baabc1587045b33b023a0d3801d145bb0ed7e3b2cdc,Gerry Rafferty - Right Down the Line (Lyric Video),
41,We'll Meet Again,Vera Lynn,1939,https://www.youtube.com/watch?v=HsM_VmN6ytk,7c281d73def0941a275a06c41a483954814a960d5edcc5129fdef3bf45b2ecf8,Vera Lynn - We'll Meet Again,
42,Tonight You Belong To Me,Patience & Prudence,1956,https://www.youtube.com/watch?v=E4WHDsYion0,2494bbbf3eec9efd50c2d15f1efe1c1a0f903f09186904044359566a034a7d26,Patience and Prudence - Tonight You Belong To Me,
43,Everybody Loves Somebody,Dean Martin,1964,https://www.youtube.com/watch?v=z-2_OstpR5c,d9a46916994761c1b92c1735d41f28c0a48fa72c91cd3a06e9231a28dddee545,Dean Martin - Everybody Loves Somebody (Official Audio),
44,Bang Bang (My Baby Shot me Down),Nancy Sinatra,1966,https://www.youtube.com/watch?v=qgDrpWWxuto,17e99e1f6dda0102de579230c6660f3d774107f5602b3642e402a288bbe5e714,Nancy Sinatra - Bang Bang (My Baby Shot Me Down),
45,Black and Yellow,Wiz Khalifa feat. Juicy J & Snoop Dogg & T-Pain,2011,https://www.youtube.com/watch?v=nWAGLkyxQG0,2c3002940b9fa5009071cebe11c122f211c9bbccb5e224f5eb3357aea27eb413,"Wiz Khalifa - Black And Yellow [G-Mix] ft. Snoop Dogg, Juicy J & T-Pain",
46,POWER,Kanye West,2010,https://www.youtube.com/watch?v=SUtf9Ajlno4,4cad93961787557d72df285ae6c6ccfeb88fb7522c99f22785ab7e60fbcce174,Kanye West - Power (Audio),
47,Changes,2Pac feat. Talent,2007,https://www.youtube.com/watch?v=eXvBjCO19QY,58e03219b24ff85ce90df3c6d325e469fdb2427847049ce7d92b3cec3caf7b34,2Pac - Changes ft. Talent,
48,Get Ur Freak On,Missy Elliott,2001,https://www.youtube.com/watch?v=FPoKiGQzbSQ,07d1b6bc77bc17b8ecd53744c1a2b48eef2682b00f8e9cef13a1a72849d6a7e7,Missy Elliott - Get Ur Freak On [Official Music Video],
49,Jump,Kris Kross,1992,https://www.youtube.com/watch?v=010KyIQjkTk,4ecf8069203aa2e9162ddb601b9f6b101e991a58938040a56f4980bfc0009f49,Kris Kross - Jump (Official Video),
50,We Didn't Start the Fire,Billy Joel,1989,https://www.youtube.com/watch?v=eFTLKWw542g,60f0cd9e9327ab96b35338f083384e70bd789103055a66bd038eca12165d204d,Billy Joel - We Didn't Start The Fire (Official HD Video),
51,Pokemon Theme Song,Jason Paige,1999,https://www.youtube.com/watch?v=JuYeHPFR3f0,e9401c4748149189b82b8f0624dd720946e309307f7c7affe98ed3df0c133b29,Pokemon Theme Song,
52,Heul doch,LaFee,2008,https://www.youtube.com/watch?v=L1t6MJaLp3U,00da5e518215e60ad3b9c0a073dead75ca4a32a4e32e01bea86c9804e4ab6e90,LaFee - Heul Doch,
53,Monsta,Culcha Candela,2009,https://www.youtube.com/watch?v=VNWO5N8Vxsc,513b67f7b56cae89a3c63c9e102129f349ad483bb757c8c138f4e9bd90bfa866,Culcha Candela - Monsta (Official Video),
